id,task_id,task,code,error_type
362,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 2
print(fact)",Update_Error
74,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
375,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i * 2",Update_Error
156,8,Reverse a number,"n = 12345
reverse = 1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
105,5,Print numbers from 10 to 1 in reverse,"i = 1
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
395,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n * 10
print(count)",Update_Error
378,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i
print(fact)",Update_Error
125,1,Print numbers from 1 to 10,"i = 11
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
69,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
451,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
10,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
195,7,Count digits in a number,"n = 12345
count = 123
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
407,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
85,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
372,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n + 10
print(reverse)",Update_Error
389,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i * 2",Update_Error
496,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
31,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
317,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 2",Update_Error
409,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
491,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
492,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
281,1,Print numbers from 1 to 10,"i = 1
while i < 10:
    print(i)
    i = i + 1",Condition_Error
357,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 2",Update_Error
77,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
462,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
498,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
212,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i >= n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
102,2,Print even numbers from 2 to 20,"i = 1
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
335,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i * 2",Update_Error
476,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
337,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 2",Update_Error
441,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
174,2,Print even numbers from 2 to 20,"i = 6
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
